full_name,age,birthday,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Alfred Gomis,27,747212400,Ligue 1,2019/2020,Goalkeeper,Dijon,1621,811,810,Senegal,19,10,9,0,0,0,0,0,0,0,0,6,5,1,19,7,12,0,0,0,0,0,0,0,0,1.05,85,85,0,0,0,256,242,68,15
Alphonse Areola,27,730800000,Ligue 1,2019/2020,Goalkeeper,PSG,270,180,90,France,3,2,1,0,0,0,0,0,0,0,0,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0.67,135,90,0,0,0,-1,-1,-1,14
Álvaro,30,631785600,Ligue 1,2019/2020,Defender,Olympique Marseille,1629,792,837,Spain,20,10,10,0,0,0,0,0,0,0,0,8,3,5,13,6,7,5,1,0,0,0,0,0,0,0.72,125,81,272,0,0.33,319,301,18,18
Amadou Dia Ndiaye,20,946800000,Ligue 1,2019/2020,Forward,Metz,0,0,0,Senegal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Ambroise Oyongo Bitolo,29,677574000,Ligue 1,2019/2020,Defender,Montpellier,1825,945,880,Cameroon,21,11,10,0,0,0,0,0,0,0,0,6,5,1,21,7,14,3,0,0,0,0,0,0,0,1.04,87,87,608,0,0.15,293,291,64,17
Amine Adli,20,957942000,Ligue 1,2019/2020,Midfielder,Toulouse,42,0,42,France,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,42,0,2.14,-1,-1,-1,12
Amine Gouiri,20,950688000,Ligue 1,2019/2020,Forward,Olympique Lyonnais,0,0,0,France,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Amir Adouyev,21,926406000,Ligue 1,2019/2020,Midfielder,Montpellier,0,0,0,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Anastasios Donis,24,841302000,Ligue 1,2019/2020,Forward,Reims,606,340,266,Greece,15,9,6,0,0,0,0,0,0,0,0,7,5,2,4,2,2,1,0,0,0,0,0,0,0,0.59,152,40,606,0,0.15,246,260,-1,14
Ander Herrera,31,619081200,Ligue 1,2019/2020,Midfielder,PSG,547,278,269,Spain,8,4,4,1,0,1,1,1,0,0,0,5,3,2,5,1,4,0,0,0.33,0.16,0.16,0,0.33,547,0.82,109,68,0,547,0,104,75,-1,12
Andrei Girotto,28,698313600,Ligue 1,2019/2020,Midfielder,Nantes,2179,1134,1045,Brazil,25,13,12,1,0,1,0,0,0,0,0,10,7,3,22,7,15,6,1,0.04,0,0.04,0,0.09,2179,0.91,99,87,363,0,0.25,205,347,-1,8
Andy Delort,29,686991600,Ligue 1,2019/2020,Forward,Montpellier,2286,1221,1065,France,26,14,12,9,5,4,3,3,0,0,2,8,7,1,31,9,22,5,0,0.47,0.12,0.35,0.37,0.34,254,1.22,74,88,457,762,0.2,37,106,-1,1
Andy Pelmard,20,952848000,Ligue 1,2019/2020,Defender,Nice,766,280,486,France,10,4,6,0,0,0,0,0,0,0,0,0,0,0,13,5,8,1,0,0,0,0,0,0,0,1.53,59,77,766,0,0.12,281,278,138,22
Ángel Di María,32,571824000,Ligue 1,2019/2020,Midfielder,PSG,2005,964,1041,Argentina,26,14,12,8,4,4,14,8,6,1,1,14,9,5,18,8,10,2,0,0.99,0.63,0.36,0.37,0.35,251,0.81,111,77,1003,143,0.09,35,1,-1,4
Angelo Fulgini,24,840524400,Ligue 1,2019/2020,Midfielder,Angers SCO,1585,768,817,France,20,10,10,1,0,1,1,1,0,0,0,9,4,5,16,10,6,3,1,0.11,0.06,0.06,0,0.11,1585,0.91,99,79,528,1585,0.17,176,186,-1,8
Anthony Briançon,25,786009600,Ligue 1,2019/2020,Midfielder,Nîmes,1738,861,877,France,22,11,11,1,0,1,0,0,0,0,0,6,4,2,30,9,21,3,2,0.05,0,0.05,0,0.1,1738,1.55,58,79,348,0,0.26,193,332,-1,12
Anthony Caci,23,867740400,Ligue 1,2019/2020,Midfielder,Strasbourg,693,450,243,France,8,5,3,1,0,1,4,3,1,0,0,2,1,1,8,6,2,0,0,0.65,0.52,0.13,0,0.37,693,1.04,87,87,0,173,0,119,6,-1,8
Anthony Limbombe Ekango,26,774255600,Ligue 1,2019/2020,Forward,Nantes,151,61,90,Belgium,4,2,2,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0.6,0,0.6,0,1,151,0.6,151,38,0,0,0,-1,-1,-1,6
Anthony Lopes,30,654764400,Ligue 1,2019/2020,Goalkeeper,Olympique Lyonnais,2340,1080,1260,Portugal,26,12,14,0,0,0,0,0,0,0,0,8,5,3,23,7,16,1,0,0,0,0,0,0,0,0.88,102,90,2340,0,0.04,310,307,38,17
Anthony Mandrea,23,851500800,Ligue 1,2019/2020,Goalkeeper,Angers SCO,0,0,0,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Anthony Racioppi,21,915091200,Ligue 1,2019/2020,Goalkeeper,Olympique Lyonnais,0,0,0,Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Anthony Walongwa,27,750668400,Ligue 1,2019/2020,Defender,Nantes,0,0,0,Congo DR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Antoine Valério,20,944899200,Ligue 1,2019/2020,Midfielder,Nîmes,84,81,3,France,5,4,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1.07,84,17,0,0,0,-1,-1,-1,16
Antonin Bobichon,25,811062000,Ligue 1,2019/2020,Forward,Angers SCO,833,277,556,France,13,5,8,2,1,1,1,1,0,0,0,6,3,3,11,2,9,0,0,0.32,0.11,0.22,0.32,0.16,417,1.19,76,64,0,833,0,76,110,-1,5
Arber Zeneli,25,793699200,Ligue 1,2019/2020,Forward,Reims,5,0,5,Kosovo,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,-1,-1,-1,25
Arnaud Kalimuendo Muinga,18,1011513600,Ligue 1,2019/2020,Forward,PSG,0,0,0,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Arnaud Lusamba,23,852364800,Ligue 1,2019/2020,Midfielder,Nice,984,484,500,France,15,7,8,1,1,0,2,2,0,0,0,1,0,1,13,6,7,1,0,0.27,0.18,0.09,0.19,0,984,1.19,76,66,984,492,0.09,155,57,-1,14
Arnaud Nordin,22,898066800,Ligue 1,2019/2020,Midfielder,Saint-Étienne,905,494,411,France,18,10,8,1,0,1,0,0,0,0,0,4,2,2,14,8,6,2,0,0.1,0,0.1,0,0.22,905,1.39,65,50,453,0,0.2,136,299,-1,11
Arnaud Souquet,28,697881600,Ligue 1,2019/2020,Defender,Montpellier,2015,1018,997,France,24,12,12,2,2,0,0,0,0,0,0,7,6,1,24,8,16,6,0,0.09,0,0.09,0.18,0,1008,1.07,84,84,336,0,0.27,148,285,71,5
Arthur Zagre,19,1002178800,Ligue 1,2019/2020,Defender,Monaco,24,24,0,France,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,-1,-1,-1,12
Arturo Calabresi,24,827049600,Ligue 1,2019/2020,Defender,Amiens SC,1879,799,1080,Italy,21,9,12,1,0,1,1,0,1,0,0,4,2,2,37,13,24,5,0,0.1,0.05,0.05,0,0.08,1879,1.77,51,89,376,1879,0.24,194,201,153,7
Assane Dioussé,23,874738800,Ligue 1,2019/2020,Midfielder,Saint-Étienne,117,108,9,Senegal,4,3,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0.77,117,29,117,0,0.77,-1,-1,-1,15
Aurélien Bayard Chedjou Fongang,35,488098800,Ligue 1,2019/2020,Defender,Amiens SC,1972,1072,900,Cameroon,22,12,10,0,0,0,0,0,0,0,0,4,2,2,35,20,15,4,1,0,0,0,0,0,0,1.6,56,90,493,0,0.18,223,250,143,16
Aurélien Tchouaméni,20,948960000,Ligue 1,2019/2020,Midfielder,Monaco,1175,435,740,France,18,7,11,0,0,0,1,0,1,0,0,5,3,2,12,2,10,6,0,0.08,0.08,0,0,0,0,0.92,98,65,196,1175,0.46,369,155,-1,16
Axel Disasi,22,889603200,Ligue 1,2019/2020,Defender,Reims,2430,1170,1260,France,27,13,14,1,0,1,0,0,0,0,0,11,7,4,19,7,12,3,0,0.04,0,0.04,0,0.07,2430,0.7,128,90,810,0,0.11,206,318,14,6
Azzedine Ounahi,20,956127600,Ligue 1,2019/2020,Defender,Strasbourg,0,0,0,Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Bafodé Diakité,20,947145600,Ligue 1,2019/2020,Defender,Toulouse,1368,567,801,France,16,7,9,2,2,0,0,0,0,0,0,3,2,1,26,9,17,2,1,0.13,0,0.13,0.32,0,684,1.71,53,86,456,0,0.2,117,380,147,7
Bakary Adama Soumaoro,28,708850800,Ligue 1,2019/2020,Defender,Lille,413,233,180,France,6,4,2,1,0,1,0,0,0,0,0,3,3,0,5,2,3,0,0,0.22,0,0.22,0,0.5,413,1.09,83,69,0,0,0,74,218,76,9
Bakaye Dibassy,31,618822000,Ligue 1,2019/2020,Defender,Amiens SC,1870,931,939,France,22,11,11,2,1,1,0,0,0,0,0,5,3,2,34,13,21,6,1,0.1,0,0.1,0.1,0.1,935,1.64,55,85,267,0,0.34,138,283,144,4
Balthazar Pierret,20,958374000,Ligue 1,2019/2020,Midfielder,Nice,0,0,0,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Baptiste Reynet,30,657097200,Ligue 1,2019/2020,Goalkeeper,Toulouse,2034,990,1044,France,23,11,12,0,0,0,0,0,0,0,0,2,2,0,43,17,26,1,0,0,0,0,0,0,0,1.9,47,88,2034,0,0.04,364,364,156,19
Baptiste Santamaria,25,794736000,Ligue 1,2019/2020,Midfielder,Angers SCO,2506,1336,1170,France,28,15,13,1,1,0,1,0,1,0,0,12,7,5,31,13,18,1,0,0.07,0.04,0.04,0.07,0,2506,1.11,81,90,2506,2506,0.04,209,214,-1,11
Bassem Srarfi,23,867222000,Ligue 1,2019/2020,Midfielder,Nice,132,35,97,Tunisia,3,1,2,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,1.36,66,44,132,0,0.68,-1,-1,-1,27
Bastian Badu,20,949478400,Ligue 1,2019/2020,Forward,Montpellier,8,8,0,France,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,-1,-1,-1,14
Batista Mendy,20,947664000,Ligue 1,2019/2020,Defender,Nantes,0,0,0,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Ben Qadir Abou Ouattara,20,946195200,Ligue 1,2019/2020,Forward,Lille,8,8,0,Burkina Faso,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,11.25,8,8,0,0,0,-1,-1,-1,16
Benjamin André,30,649666800,Ligue 1,2019/2020,Midfielder,Lille,2055,1076,979,France,26,14,12,2,1,1,1,1,0,0,0,12,9,3,20,7,13,7,0,0.13,0.04,0.09,0.08,0.09,1028,0.88,103,79,294,2055,0.31,154,212,-1,5
Benjamin Bourigeaud,26,758534400,Ligue 1,2019/2020,Midfielder,Rennes,1904,1080,824,France,25,14,11,2,1,1,2,1,1,0,0,9,3,6,17,11,6,5,0,0.19,0.09,0.09,0.08,0.11,952,0.8,112,76,381,952,0.24,153,145,-1,7
Benjamin Corgnet,33,544690800,Ligue 1,2019/2020,Midfielder,Strasbourg,260,98,162,France,6,3,3,0,0,0,0,0,0,0,0,1,0,1,4,2,2,0,0,0,0,0,0,0,0,1.38,65,43,0,0,0,-1,-1,-1,16
Benjamin Henrichs,23,856684800,Ligue 1,2019/2020,Defender,Monaco,889,439,450,Germany,13,8,5,0,0,0,0,0,0,0,0,3,3,0,18,8,10,3,0,0,0,0,0,0,0,1.82,49,68,296,0,0.3,304,302,154,26
Benjamin Jeannot,28,696067200,Ligue 1,2019/2020,Forward,Dijon,168,78,90,France,2,1,1,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,1.61,56,84,0,0,0,-1,-1,-1,23
Benjamin Lecomte,29,672649200,Ligue 1,2019/2020,Goalkeeper,Monaco,2520,1260,1260,France,28,14,14,0,0,0,0,0,0,0,0,7,4,3,42,21,21,1,0,0,0,0,0,0,0,1.5,60,90,2520,0,0.04,269,268,131,15
Benoît Badiashile Mukinayi,19,985593600,Ligue 1,2019/2020,Defender,Monaco,1413,540,873,France,16,6,10,0,0,0,0,0,0,0,0,3,1,2,23,7,16,0,0,0,0,0,0,0,0,1.46,61,88,0,0,0,309,306,122,28
Benoît Costil,33,552294000,Ligue 1,2019/2020,Goalkeeper,Bordeaux,2520,1170,1350,France,28,13,15,0,0,0,0,0,0,0,0,6,4,2,30,11,19,1,0,0,0,0,0,0,0,1.07,84,90,2520,0,0.04,367,367,70,22
Bertrand Traoré,25,810370800,Ligue 1,2019/2020,Forward,Olympique Lyonnais,1254,541,713,Burkina Faso,23,11,12,1,1,0,3,0,3,0,0,7,5,2,10,2,8,6,0,0.29,0.22,0.07,0.17,0,1254,0.72,125,55,209,418,0.43,165,41,-1,11
Bilal Benkhedim,19,987750000,Ligue 1,2019/2020,Midfielder,Saint-Étienne,130,30,100,France,3,1,2,0,0,0,0,0,0,0,0,1,1,0,2,0,2,0,0,0,0,0,0,0,0,1.38,65,43,0,0,0,-1,-1,-1,16
Bilal Boutobba,22,904374000,Ligue 1,2019/2020,Midfielder,Montpellier,4,0,4,France,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,-1,-1,-1,27
Bingourou Kamara,24,845881200,Ligue 1,2019/2020,Goalkeeper,Strasbourg,0,0,0,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Bongani Zungu,28,718614000,Ligue 1,2019/2020,Midfielder,Amiens SC,985,343,642,South Africa,21,10,11,1,1,0,0,0,0,0,0,4,2,2,27,9,18,4,0,0.09,0,0.09,0.26,0,985,2.47,36,47,246,0,0.37,145,270,-1,10
Boubacar Kamara,20,943344000,Ligue 1,2019/2020,Defender,Olympique Marseille,2141,1061,1080,France,24,12,12,1,1,0,2,2,0,0,0,9,3,6,20,9,11,8,1,0.13,0.08,0.04,0.08,0,2141,0.84,107,89,238,1071,0.38,199,159,32,10
Boubacar Traore,19,998290800,Ligue 1,2019/2020,Midfielder,Metz,0,0,0,Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Boubakary Soumaré,21,920102400,Ligue 1,2019/2020,Midfielder,Lille,1216,527,689,France,20,10,10,0,0,0,0,0,0,0,0,6,5,1,17,5,12,3,2,0,0,0,0,0,0,1.26,72,61,304,0,0.3,389,388,-1,21
Boulaye Dia,23,848131200,Ligue 1,2019/2020,Midfielder,Reims,1818,822,996,France,24,10,14,7,2,5,1,0,1,1,0,10,6,4,15,5,10,0,0,0.4,0.05,0.35,0.22,0.45,260,0.74,121,76,0,1818,0,38,194,-1,1
Bouna Sarr,28,696844800,Ligue 1,2019/2020,Forward,Olympique Marseille,2170,967,1203,Guinea,27,13,14,1,1,0,3,2,1,0,0,10,3,7,19,6,13,3,0,0.17,0.12,0.04,0.09,0,2170,0.79,114,80,723,723,0.12,201,109,-1,7
Brendan Chardonnet,25,788083200,Ligue 1,2019/2020,Defender,Brest,821,303,518,France,12,6,6,0,0,0,0,0,0,0,0,3,2,1,12,3,9,4,0,0,0,0,0,0,0,1.32,68,68,205,0,0.44,376,376,113,18
Bridge Ndilu,20,943948800,Ligue 1,2019/2020,Forward,Nantes,0,0,0,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Bruno Écuélé Manga,32,585039600,Ligue 1,2019/2020,Defender,Dijon,2520,1260,1260,Gabon,28,14,14,0,0,0,0,0,0,0,0,6,5,1,34,13,21,2,0,0,0,0,0,0,0,1.21,74,90,1260,0,0.07,329,323,100,19
Bruno Guimarães Rodriguez Moura,22,879667200,Ligue 1,2019/2020,Midfielder,Olympique Lyonnais,270,90,180,Brazil,3,1,2,0,0,0,0,0,0,0,0,2,1,1,1,0,1,1,0,0,0,0,0,0,0,0.33,270,90,270,0,0.33,-1,-1,-1,26
Bryan Soumaré,21,918720000,Ligue 1,2019/2020,Midfielder,Dijon,379,133,246,France,12,4,8,0,0,0,0,0,0,0,0,3,2,1,3,0,3,0,0,0,0,0,0,0,0,0.71,126,32,0,0,0,272,325,-1,21
Casimir Ninga,27,737622000,Ligue 1,2019/2020,Forward,Angers SCO,677,287,390,Chad,16,9,7,3,3,0,1,0,1,0,0,7,4,3,8,3,5,3,1,0.53,0.13,0.4,0.94,0,226,1.06,85,42,169,677,0.53,31,98,-1,4
Cesc Fabregas,33,547110000,Ligue 1,2019/2020,Midfielder,Monaco,934,661,273,Spain,18,9,9,0,0,0,3,2,1,0,0,5,2,3,21,14,7,2,1,0.29,0.29,0,0,0,0,2.02,44,52,311,311,0.29,306,21,-1,23
